steming_data,label
saraswati pintar tida ajar alam hufffffffffffff,Negatif
menag bicara sola celana cingkrang atur loh link hashtag,Positif
koruptor hukum berat kasih ringan hashtag,Positif
pimpin bikin hoax jabat parah,Positif
jujur malu salah jkw sulit laku,Negatif
oi tolong demo suruh pulang hashtag hashtag hashtag,Positif
astagfirullah medina zein pakai narkoba kaget pakai narkoba ya kaget medina zein,Negatif
ngantornya jalan tol balaikota bikin perintah jokowi lho,Negatif
username tolong dpr kasih kuliah khusus menag biar bikin ribut mulu,Negatif
ah tolol link,Positif
username username nih klarifikasi ya lem aibon cc username username username username username,Positif
username anak pintar mak ya tolol nih,Positif
selamat nikmat berkah warge jakarte terimakasih juge ame username hashtag oke tuh wkwkwkwkwkw aye mah ogah banjir biar negara utang aye bayar,Negatif
samyang ya indomie hashtag,Positif
maaf rendah hati amp maaf wenang mutlak aneh pimpin lemah hashtag hashtag hashtag username username,Positif
welcome indonesia orang lengah malu sangka bahan dunia dosa hei dosa beda ladang dosa,Negatif
untung ane mahasiswa monyet malu banget mahasiswa,Negatif
mantap mas dengar omong haters ya optimis percaya,Positif
terima kasih tani wkwk hashtag,Positif
fifa perhati khusus sepak bola papua link link hashtag hashtag hashtag hashtag hashtag hashtag,Positif
sokaps nih hashtag hashtag hashtag hashtag link,Positif
pengin dengar tanggap abang pandji nih ayok bikin video abang betapa lucu negeri username hashtag,Negatif
username username mari rang hashtag,Positif
username alhamdulilah jakarta gubernur santuy rendah hati ustad aa gym ayo lanjutken 3 periode,Negatif
3 mantan ceo menteri jokowi link hashtag hashtag hashtag,Positif
username aku ustadz croshijaber ya sony sontoloyo,Positif
omong people power kemarin bicara polisi pki sore username konpers konstitusional orang belah percaya hashtag hashtag hashtag,Positif
orang indonesia sopansopan banget ya nyapres misi,Positif
username kepala kau sholehmati kau bodoh emosi indonesia kau eee hashtag,Negatif
username username ajar yuk ngopi deh,Positif
gaji pramugari sekian 15 jtan tampil sosialita salah nilai anggap gundik,Positif
kali atmosfir debat capres indonesia kalah atmosfir final bola piala dunia jancok hashtag hashtag,Negatif
malu hashtag,Positif
welcome indonesia diversity lihat valentine mampus mati,Negatif
semangat gaesss adrk siaga hashtag,Positif
sosialita banget gaya nak link,Positif
susah orang pintar mah hashtag,Negatif
prabowo bilang berantas orang suka kongkalikong kemarin bilang korupsi gapapa ya cowok pegang hashtag hashtag,Positif
baca koran jakarta edisi digital pdf email edisi edisi langgan versi pdf koran jakarta link,Positif
gayane songong sok banget benar mesjid hashtag langsung sowan hadap username ketua pbnu hahaha berani ilmu agama banding ulama nu eh keminter ajar hashtag hashtag link,Positif
username wooohoo selamat harga best digital startup 2019 moga inovasi dampak positif masyarakat indonesia saji agam berita informasi junjung kredibilitas pegang teguh etika hashtag,Positif
andi arief megawati dendam turun turun surabaya puan link hashtag hashtag hashtag hashtag hashtag,Positif
sejati 2014 suara masyarakat sultra vote for username temu jalan link,Positif
username username username gaaaskeeun hashtag,Positif
jaangan entar waras diam biar otak kayak kampret hashtag,Negatif
username username perintah utama rakyat,Positif
sus tri tangguh srikandi indonesia lupa hashtag hashtag,Positif
koruptor jabat kena alesanya sakit tradisi indonesia hashtag,Positif
username username koau revolusi wrga negara gaji pakai apbn pns jabat pmnrntahan bumn,Positif
username awas omong orde main fitnah bukti kau lenyap masadepan mu jabat jaman link,Positif
level peduli fan tim sayang kritik kritik pacu apresiasi jatuh maju username berantas mafia fan kardus,Positif
gue buka youtube ketemu orang hashtag link,Positif
username username username arif satria rektor ipb,Positif
terima kasih ajak cerita hashtag,Positif
pas lihat abang brsihin ember bkas racun kolam timbul rsa kasih lihat anak kolam mabuk anak duduk kursi damba hashtag hashtag hashtag hashtag,Positif
jabat usaha artis pakai brompton daya idam fnhon bom kebel link,Positif
nyata pahit nyata harap gantung harap,Positif
sosok azura luna sosialita indoensia duga tipu kelas kakap link,Positif
username username username kasih kendor hashtag,Positif
ayo tanam selagi damai aman username username username username username username username hashtag link,Positif
username generasi milenial prestasi hashtag,Positif
mending usaha negara ancooor hashtag,Negatif
mampus lo hashtag hashtag hashtag hashtag username username,Positif
bijaksana suruh bijak egois,Positif
username username username lho partai bro,Positif
perang propaganda papua link link hashtag hashtag hashtag hashtag hashtag hashtag,Positif
mari rapat hashtag hashtag,Positif
username lo kali bacot kpopers katai kpopers kaca deh lo tolol,Positif
rambut jess hashtag hashtag hashtag hashtag hashtag hashtag hashtag link,Positif
username username ambek hikmah hashtag indonesia maju ceria riang gembira kabinet kerja,Positif
air masuk mall shopping kali ya santun banget ya hashtag hashtag hashtag,Negatif
rismaselamanya ya dukung kompakkompak ayo buk ndang pilih ganti username biar puas dukung hashtag,Positif
prabowo hashtag pikir hashtag ken makan hokben mulu,Positif
alhamdulillah nama berkah lari moga toa ya fungsi pasang toa ya rumah joget bareng hashtag banjir jilid 2 hashtag trending twitter,Negatif
sayang politikus kenal dosa sadar mlecehkan ulama sepuh hormat negeri,Positif
harga apresiasi dengar diskotek ken hashtag lho mah kagak kenal beliau,Negatif
negara milik rakyat milik pejabataparat hashtag,Positif
2024 username username presiden wakil presiden hashtag hashtag,Positif
sejarah hitam orang melayu triggered hashtag hashtag hashtag hashtag hashtag baca link link,Positif
bikin tagar yuk judul kasihan 3x daftar capres gagal daftar 4x hashtag,Positif
username username username username mabok lem nih orang,Positif
username 2 keleeessss untung psi dki obokobok adem2 sah rapbd ya apbd 2017 2018 2019 bancak situasi,Positif
setan dunia khianat hashtag,Positif
banjir air berkah suka silah minggat jakarta rangorang mati bain warga dki biar hak tuduh enggak2 kadrun kadrun hashtag,Negatif
isu periksa tertib hoax akibat tertib siswa hashtag,Positif
bumi rakyat kelompok jabat link,Positif
moga sehat walafiat mbah kakuunggg hashtag,Negatif
kubu 02 fitnahhoax laku halal giring opini bohong video kuat hashtag biar masyarakat percayaini berita india edit olah ina capres02 naplokin tahi muka,Positif
musibah kepala lo bau menyannn hashtag andi arief tangkap narkoba bpn prabowo musibah,Positif
username username username username username username username username paham komen aibon lihat pasar aibon import yaman ujung paham mahal hashtag hashtag,Positif
sih sontoloyo suruh menteri bumn mardigu wowiek link username,Positif
kalung kayak sosialita link,Positif
sukses hashtag dokumentasi daerah alami azab pimpin iman akibat musibah hashtag,Negatif
orang bebal tuhan samping orang bijak usaha tuhan,Positif
tau nia ramadhani,Positif
username moga jodoh cantik pintar amin hashtag,Positif
pangkat nyawa kawan beli gaji umur hidup hashtag hashtag,Negatif
heran suka nyiyirin presiden username arab hormat mulia nyiyir rakyat indonesia,Positif
hina ulama hina orang hashtag hashtag,Positif
lucu pas ayo palembang bilang sontoloyo nada,Positif
nakal ya wo demo2 iyee iyee wi elaahhh gue hashtag mending makan yuk,Positif
username isu nih senjata bukti dasar sontoloyo menutpi bodoh,Positif
ya serah maaf ya sadar sesal caricari hashtag,Positif
indonesia perintah bikin channel youtube subscribe tonton rakyat lumayu2026 link,Positif
username bahan sontoloyo hashtag,Positif
fakultas dokter awat jogja biangeeet imbang tim medis buuaanget,Negatif
01dan02 indonesiahashtag,Positif
bahas hashtag ajak main link,Positif
tuhan meciptakan manusia unik letak orang moga lekas sadar ya hashtag,Negatif
ketua komisi agama dpr larang cadar gaduh dangkal republika online link,Positif
mantengin trendingnya twitter hashtag hashtag hashtag hashtag hashtag hashtag hashtag link,Positif
ajar orba proyek bangun mangkrak pilih pimpin ahli,Negatif
ken diskotik,Positif
tahi anjing tetangga dangdut keras banget nugas buka pintu jendela nyanyi joget mantab,Positif
username semangat daddies hasil hebat optimis luffvvv,Positif
sadar wkwkwk takut alat bahan dapur gosong link hashtag,Positif
kenang singkat rangkum rapi kacau memori hashtag,Positif
rusak jekardah pimpin gabener 4nies parasit tgupp ya kerja anggar segede2nya parasit hashtag,Positif
ah sih jancuk cari perkara sontoloyo tenan link,Positif
benarbenar parpol penuh semangat latih lempartangkap kursi iring musik mars gempita penuh gairah olahraga mbah amin kartel nama bawang,Negatif
username username nizar pintar hasut wkwkwkwkwk,Negatif
moga generasi milenial tindak change agent putus lingkar setan,Positif
username username masuk sorga,Positif
masok eko hashtag sebar hoax milik akun fb username lapor polisi,Positif
mari sambit artis nyokap kota cinta sembah umat jeng jeng hashtag hashtag,Negatif
username tul bro gendang gendruwo siluman rezim jae pinokio sontoloyo hhuuu,Positif
username username username username username username username username goblok,Positif
dungu tolol bego borong bani kampret username prabowo junjungannmu nyawa hilang provokasi kelompok beliau hashtag hashtag hashtag hashtag,Positif
sistem perintah ubah presidensial menterisial hashtag,Negatif
username hashtag,Positif
takut banjir orang jakarta latih anggap berkah imlek pegang toa teriak banjir banjir ayo ngopi bareng lantai tunggu antri air masuk tanah hashtag,Negatif
nia ramadhani link,Positif
lonte gblk,Positif
username username username username negur username kocak praktik slogan tuan korupsi santun cc username,Positif
sapa hashtag demen serang nu nyinyir islam nusantara benci banser amaliah nu anggap bidah ojo nggayanggaya ndadak hashtag link,Positif
hashtag menteri tuju reklamasi gugel gue pengin tau netijen hashtag hashtag,Positif
username salah anies wg kerja kakak salah salah kerjs,Negatif
username yunika wulandari jakarta selatan a anti lengket mudah dibersikan n cepat matang hashtag hashtag hashtag hashtag,Positif
hati panas hangus sahabat 0,Positif
prabowo nama google cari prab libat ham anak prabowo apkh benar homo jumat cari orang pengin tau kbnran pas tok ketik hasil prabowo muncul nyebarin hoax rs,Negatif
anies klaim 73 warga puas kerja pemprov dki iya nies puas korban php janji manies mu,Negatif
username dokter bedah plastik ya tolong betulin mulut omong,Positif
takbeer allahu akbar colosseum a n t a p gnpf ulama bela pemprov dki harga diskotek,Negatif
username username username cie cie gagal makan lobster,Positif
banget sumpah 7 fakta unik yuni shara wow yuni suka mandi pakai air anget,Negatif
username moga sukses tugas jaga tahan aman nkri hashtag,Positif
gue ken lihat jatuh hashtag,Positif
username harga repot pintar smart harga kerja kali hashtag harga,Negatif
beda pilih bos etika terimakasih perintah ter kontribusi maju bl,Positif
ayo polisi cepat aktor intelektual sokong dana demo ricuh hashtag,Positif
hashtag pohon tebang formula e tebang revitalisasi monas gundul,Negatif
halo veneta system butuh hashtag nih silah drop cv ya minat full time kantor daerah mangga tunggu ya hashtag hashtag hashtag hashtag hashtag hashtag hashtag link,Positif
username username username username mantap bro tuju,Positif
sadar orang sopan sadar sopan sontoloyo,Positif
indonesia butuh presiden tukang lenong tukang pijit hashtag,Negatif
username keseleq kursi hashtag,Positif
mar kader username kejar dunia username username username username username link,Positif
jancuk sarkasme keren wkwk link,Positif
hebat mbak pikir,Positif
username rezim sontoloyo,Positif
username username tangkap tukang nyinyir,Positif
kadrunnya 3 alhamdulilah hashtag hashtag hashtag hashtag hashtag hashtag link,Positif
username username username username dasar min,Positif
kalah selesai tiru mertua username hashtag hashtag hashtag,Positif
masuk hashtag gabener oversmart hashtag kacung2nya ribut bain kayak hashtag,Positif
tangguh barang saksi jihad sabilillah jihad jalan allah jihad jalan ks tubun hashtag hashtag hashtag,Positif
peduli mati juang raih mimpi sesal,Positif
berkat infotainment 98 67 capai mayangsari amp nia ramadhani prestasi tiru anak perempuan,Positif
username seweknya nyi roro kidul koh,Positif
username kereta kencana nyi roro kidul,Positif
ingkar konsitusi ingkar tuhan hashtag,Positif
terima kasih indonesia team main top legen peluang raja malaysia angkat piala harini,Negatif
ya tranding hashtag,Positif
username username username username username ok ya,Positif
anies baswedan janji sedia kolam warga jakarta bilang anies becus kerja coba sentil hidung wkkwkwk,Negatif
unbk semangat juang mas perjuangin biar juang hashtag,Positif
gin kartu pra kerja username turun angka miskin,Positif
teladan rekonsiliasi jokowi prabowo tulah hashtag hashtag,Positif
username bpjs budget pas pas an jiwa sosialita,Positif
bela kaum lemah pro cilik rangkul masyarakat bukti suka memakimaki kalang hashtag,Positif
tuan username suka hina kyai suka bohong info hoax sarumpaet sih hashtag,Negatif
wacana cadar celansla cingkrang larang haha link,Positif
temu sejuk selamat pjokowi selamat pprabowo layak pahlawan bangsa hashtag,Positif
nu klaim wakil segenap ummat muslim nu klaim orang percaya,Negatif
username iya dasar kadrun hashtag,Positif
sejarah dki berkat gabener iman sinden hashtag hashtag,Negatif
warbiyasak gabener hashtag sejarah catat 2020 januaryfebruari 6x banjir kalah demo berjilidjilid ituwajah seringai gubernur daerah saing prestasi bliyo username,Negatif
indonesia unggul esemka romo pas kampanye beliau sih zaman hehe maaf hashtag,Negatif
arif satria dorong maju ipb link,Positif
tahuuuu bulat enakenakenakenakenak hashtag,Positif
sambut siti aisyah bangsa username hashtag,Positif
henti bicara hashtag,Positif
kapai sih lempar botol lempar batu tuh mikir kasih anak istri rumah situ enak demo kasih nasbung anak istri rumah makan juta rindu hashtag,Positif
username kaum kau ahli qalam qalam doang,Positif
hashtag kasih deh link,Positif
username username bangga alumni ugm jokowi malu alumni ugm anies amien paham,Negatif
bola hati bahagia hebat hashtag,Positif
username uwu banget ngelempar botol goblok,Positif
terima kasih gub anies sadar kerja gubernur dki mudah teori nyata harap semangat buang ego hebat hasil pabila kerja,Negatif
gue unggul ya cerdas lo2 metro tv iq ya,Positif
muncul nama sus pudjiastuti 34 nama menteri kabinet indonesia maju hashtag link,Positif
username tolol lucu,Positif
benarbenar ide brilian out of the box monas kolam raksasa luas lapang bola gabener wan abud tangkap air hujan wilayah jakarta wisata halal ala kadrun hashtag,Negatif
selamat malam rakyat negara bangun sembuh sakit kamipolitiken,Negatif
username anjir goblok banget ya marah fancamnya halang bgst,Positif
berkat program toa jakarta banjir lelep hashtag,Negatif
oh jokuwi pakai consultant negeri ngakuin tolol dungu dunia,Negatif
dukung prabowo goblok bikin hestek uninstall uninstall dukung jokowi bikin hestek hashtag goblok siap2 hilang swing voters kayak gin pantesan pilih golput,Positif
malam minggu remi hashtag hashtag hashtag,Positif
presiden ri lantik kapolri hashtag link,Positif
terimakasih username salur csrnya layan tradisional kabupaten username hashtag hashtag hashtag hashtag link,Positif
pimpin inspirasi sehat presiden username hashtag hashtag,Positif
barusan ecek jakarta rugi pentol bertanggungjawab suruh omong hoax habis2 hashtag hashtag,Negatif
username usaha jabat pensiun ya buanyak banget,Positif
username hashtag acu kemenag,Positif
username aco lapor badan hukum lapor saudara orangorang badan hukum tau barbar barbar hapus muka bumi cam prabowo bela pakai jokowi bela maksutnya ala,Positif
mulia elit politik sungkan tumpuk kursi mudah eo ruang,Negatif
kelon malam muncul hastag hashtag kelon sih adem hashtag,Positif
gubernur santun hebat pandai iya hashtag,Negatif
username yups rusak percaya rakyat username,Positif
username habis akun renang om mantul banget username sarkasme ya,Positif
maenan kayak anggur kagak sekolah prett hashtag hashtag,Positif
rutin qunut subuh tuduh anti pancasila intoleran hashtag,Positif
lem aibon 82 8 pulpen 124 jamban 166 jalur sepeda 73 selamat rakyat jkt58 gubernur binasa nikmat kerja gubernur mabok hashtag hashtag,Negatif
username username belio penterjemah bahasa twitter tolong harga sungguh bahasa twitter njelimet,Positif
username username mantap,Positif
sandiaga uno janji program kartu jakarta jomblo sandi maju cawapres kartu wujud dasar hoak nipu masyarakat,Negatif
pintar bikin musik marketing sajama cut abang link,Positif
luwar gubernur iman gelar ph negeri mantan rektor paramadina mantan tri didik hasil senang anak hadir kolam renang warga erti ora bong hashtag,Negatif
username deuh emak emak sosialita huh,Positif
username username bisnis sosialita uang masak ig story doang konyol,Positif
untung bukalapak keluarga uninstallbukalapak,Negatif
manusia angkuh sombong berani rendah ulama nu orang lugu erti bahsa ambigu,Negatif
presiden username kunjung universitas aisyiyah bilang presidenu2026 link,Positif
gila gila gila keren keren keren rakyat hajar habis habis koruptor biar liar tumbuh 7 tumbuh koruptor,Negatif
moga jujur dinegri ditegakkn langgar tuju bentuk ayo bangkit lawan tirani telh leceh konstitusi dinegri daulat rakyat demokrasi ditegakkn sesuai dngn konstitusi allahuakbar merdeka hashtag,Positif
rintang hidup optimis optimis rintang mjd,Positif
pintar banget sih suruh bolak fakta ajar,Negatif
iri hasil orang motivasi semangat pacu,Positif
username username sok komentar lonte anjing sampah goblok biadab bodoh ya bodoh mbak goblok makan tahi ya otak,Positif
produsen petas kayak dadak asli seberang untung ya tukang petas lebaran pokok hashtag,Positif
bantu adik hashtag hashtag hashtag link,Positif
username username username haha kasih lho dok,Positif
hashtag jokowi cukur rambut iri jokowi prestasi,Positif
moga generasi bangsa cerdas harum angkat martabat bangsa,Positif
username fungsi jempol fungsi otak,Positif
sih erti hashtag hashtag hashtag,Positif
username semalem sih jakpot goblok banget wkkwkwkwkw,Positif
semangat juang semangat henti juang,Positif
pimpin jakarta sih anies alhamdulillah amanah kolam banjir,Negatif
tagar hashtag lihat hina halus ya gue kasih prabowo kalah hina kayak gin,Positif
biar hadap cemerlang hashtag,Positif
korban rusuh wakil rakyat kayak fadly rakyat hashtag,Positif
sekolah tinggi2 pintar negeri butuh orang pintar butuh orang jujur,Positif
iblis2 sidang istimewa bahas duduk turun derajat oknum wakil rakyat hina ulama,Negatif
username bangga milik president jokowi moga bpk jokowi president kamihashtag,Positif
krg waras jago hibur waras sejuk klop teman bth insting tajam nyaman krg waras waras sreg hati,Positif
aksi uninstallbukalapak tolol sikap protes attitude buruk username tolol orang bela attitude buruk,Negatif
username username serius erti sarkasme,Positif
juara bohong hashtag,Negatif
username mulia mu nak nyesal gugurin,Negatif
username bangsat kau hina agama islam maksud lo dasar otak butek hashtag,Positif
seru jihad bela jahad hashtag hashtag hashtag hashtag,Positif
username jabat optimis kesejahterannya sejahtera milik modal,Positif
username nia ramadhani buka salak gue belaga buka rambutan,Positif
username gabener tata iya hashtag hashtag,Negatif
manusia username kontribusi bangsa negara ngebacot nyinyir hashtag,Positif
username moga sukses ya fpi muuu hashtag hashtag,Positif
filosofi duduk tangga ala jokowi apas tau hashtag,Positif
salah ambulance hapus salah rocky gerung said didu hapus cut alih dosa langgar orang moral rendah integritas contoh,Positif
username ya kayak nyi roro kidul,Positif
wooww hidup syekali dukung prabohong paksa doktrin pilih sih wowo takut ya 2019 kalahlagi hashtag,Negatif
bahagia ya iman hashtag,Negatif
